Depth	SelDepth	Score	Time	Nodes	NPS	Move
4	16	-236	10	7714	771000	Rad1
4	17	-236	12	9520	793000	Rad1
4	18	-236	15	11286	752000	Rad1
4	18	-236	16	11794	737000	Rad1
4	18	-236	20	14040	702000	Rad1
5	18	-237	21	14505	690000	Rad1
5	18	-237	22	15311	695000	Rad1
5	18	-237	27	18737	693000	Rad1
5	20	-237	30	21208	706000	Rad1
5	21	-237	40	26766	669000	Rad1
6	22	-232	50	28989	579000	Rad1
6	22	-232	59	31529	534000	Rad1
6	24	-232	71	38471	541000	Rad1
6	24	-232	80	39569	494000	Rad1
6	24	-232	90	46185	513000	Rad1
6	24	-232	99	47057	475000	Rad1
7	24	-253	108	49218	455000	Rad1
7	24	-253	118	50947	431000	Rad1
7	24	-253	126	51754	410000	Rad1
7	24	-253	135	53720	397000	Rad1
7	24	-253	150	74490	496000	Rad1
7	24	-253	160	83884	524000	Rad1
7	24	-253	170	88640	521000	Rad1
8	24	-242	178	90131	506000	Rad1
8	24	-242	186	91243	490000	Rad1
8	27	-242	205	134432	655000	Rad1
8	27	-242	215	143948	669000	Rad1
9	27	-233	225	152356	677000	Rad1
9	27	-233	239	180938	757000	Rad1
9	27	-233	250	188133	752000	Rad1
9	27	-233	280	287615	1027000	Rad1
9	28	-233	295	322957	1094000	Rad1
10	32	-227	317	384048	1211000	Rad1
10	32	-227	329	400826	1218000	Rad1
10	32	-227	341	422747	1239000	Rad1
10	32	-227	381	577187	1514000	Rad1
10	32	-227	400	641761	1604000	Rad1
11	32	-221	416	684820	1646000	Rad1
11	32	-221	428	712228	1664000	Rad1
11	32	-221	449	775173	1726000	Rad1
11	40	-221	575	1500423	2609000	Rad1
11	40	-221	610	1672554	2741000	Rad1
12	40	-226	626	1731376	2765000	Rad1
12	40	-226	677	2000377	2954000	Rad1
12	40	-226	718	2115668	2946000	Rad1
12	40	-226	829	2640264	3184000	Rad1
12	40	-226	876	2901388	3312000	Rad1
13	40	-226	898	2996870	3337000	Rad1
13	40	-226	918	3063812	3337000	Rad1
13	40	-226	1004	3249843	3236000	Rad1
13	40	-226	1069	3627895	3393000	Rad1
13	55	-226	2638	14146968	5362000	Rad1
13	55	-226	2670	14305337	5357000	Rad1
13	55	-226	2703	14457763	5348000	Rad1
14	55	-267	2836	15206153	5361000	Rad1
3	14	-195	4	3939	984000	Raf1
3	14	-195	5	4718	943000	Raf1
3	14	-195	6	4960	826000	Raf1
3	16	-195	7	5747	821000	Raf1
4	16	-242	9	6538	726000	Raf1
6	22	-274	59	31529	534000	Raf1
6	24	-274	71	38471	541000	Raf1
14	55	-229	3176	17410248	5481000	Raf1
14	55	-229	3259	17941395	5505000	Raf1
14	55	-229	3414	19007563	5567000	Raf1
14	55	-229	3450	19196371	5564000	Raf1
15	55	-219	3570	20061200	5619000	Raf1
15	55	-219	3665	20707677	5650000	Raf1
15	55	-219	4271	25102852	5877000	Raf1
15	55	-219	4606	27366436	5941000	Raf1
15	55	-219	4648	27626760	5943000	Raf1
16	55	-231	4897	29420719	6007000	Raf1
16	55	-231	5030	30211891	6006000	Raf1
16	55	-231	5313	31655119	5958000	Raf1
16	55	-231	5763	34970994	6068000	Raf1
16	59	-231	7171	44994260	6274000	Raf1
16	59	-231	7629	48614340	6372000	Raf1
17	59	-222	7871	50419708	6405000	Raf1
17	59	-222	8495	54820253	6453000	Raf1
17	59	-222	9357	61355629	6557000	Raf1
17	59	-222	9440	61954794	6563000	Raf1
17	59	-222	9922	65282457	6579000	Raf1
17	59	-222	10618	70406783	6630000	Raf1
18	59	-247	11682	78506924	6720000	Raf1
6	24	-123	71	38471	541000	b5
6	24	-123	80	39569	494000	b5
7	24	-111	90	46185	513000	b5
7	24	-111	99	47057	475000	b5
7	24	-111	108	49218	455000	b5
7	24	-111	118	50947	431000	b5
7	24	-111	126	51754	410000	b5
7	24	-111	135	53720	397000	b5
8	24	-206	150	74490	496000	b5
8	24	-206	160	83884	524000	b5
8	24	-206	170	88640	521000	b5
8	24	-206	178	90131	506000	b5
8	24	-206	186	91243	490000	b5
8	27	-206	205	134432	655000	b5
9	27	-199	215	143948	669000	b5
9	27	-199	225	152356	677000	b5
